TXNAME	GENEID
ENSDART00000186687.1	ENSDARG00000112867.1
ENSDART00000161734.2	ENSDARG00000099504.2
ENSDART00000160963.2	ENSDARG00000103885.2
ENSDART00000186681.1	ENSDARG00000116253.1
ENSDART00000164889.2	ENSDARG00000099066.2
ENSDART00000160161.2	ENSDARG00000101830.2
ENSDART00000162964.2	ENSDARG00000102374.2
ENSDART00000131829.2	ENSDARG00000063344.8
ENSDART00000144883.3	ENSDARG00000063344.8
ENSDART00000156963.2	ENSDARG00000097685.3
ENSDART00000161066.2	ENSDARG00000097685.3
ENSDART00000137179.2	ENSDARG00000036008.8
ENSDART00000100744.4	ENSDARG00000069301.7
ENSDART00000160393.2	ENSDARG00000069301.7
ENSDART00000167980.2	ENSDARG00000104901.2
ENSDART00000067621.6	ENSDARG00000031836.8
ENSDART00000165084.2	ENSDARG00000031836.8
ENSDART00000162322.2	ENSDARG00000103391.2
ENSDART00000190378.1	ENSDARG00000103391.2
ENSDART00000144327.3	ENSDARG00000030463.9
ENSDART00000173911.2	ENSDARG00000030463.9
ENSDART00000178732.2	ENSDARG00000030463.9
ENSDART00000164747.2	ENSDARG00000103031.2
ENSDART00000162001.2	ENSDARG00000103031.2
ENSDART00000103397.6	ENSDARG00000070447.6
ENSDART00000113661.4	ENSDARG00000080018.5
ENSDART00000052422.3	ENSDARG00000036109.4
ENSDART00000047912.9	ENSDARG00000029612.9
ENSDART00000154987.3	ENSDARG00000075759.5
ENSDART00000108999.4	ENSDARG00000075759.5
ENSDART00000080347.6	ENSDARG00000057635.7
ENSDART00000123238.3	ENSDARG00000057635.7
ENSDART00000137120.2	ENSDARG00000032737.8
ENSDART00000049291.5	ENSDARG00000032737.8
ENSDART00000147621.2	ENSDARG00000032737.8
ENSDART00000156885.2	ENSDARG00000053517.8
ENSDART00000157087.2	ENSDARG00000053517.8
ENSDART00000176637.2	ENSDARG00000053517.8
ENSDART00000159554.2	ENSDARG00000111826.1
ENSDART00000192041.1	ENSDARG00000111826.1
ENSDART00000184520.1	ENSDARG00000111826.1
ENSDART00000024330.9	ENSDARG00000015793.10
ENSDART00000173945.2	ENSDARG00000015793.10
ENSDART00000172251.2	ENSDARG00000015793.10
ENSDART00000155746.3	ENSDARG00000044573.8
ENSDART00000154158.2	ENSDARG00000044573.8
ENSDART00000180571.1	ENSDARG00000044573.8
ENSDART00000189685.1	ENSDARG00000044573.8
ENSDART00000135009.2	ENSDARG00000025206.10
ENSDART00000139795.2	ENSDARG00000025206.10
ENSDART00000190366.1	ENSDARG00000025206.10
ENSDART00000136751.2	ENSDARG00000042189.7
ENSDART00000146364.3	ENSDARG00000076270.7
ENSDART00000175207.2	ENSDARG00000076270.7
ENSDART00000140924.2	ENSDARG00000045415.8
ENSDART00000066782.7	ENSDARG00000045415.8
ENSDART00000163816.2	ENSDARG00000100099.2
ENSDART00000163956.2	ENSDARG00000100099.2
ENSDART00000129910.3	ENSDARG00000087916.3
ENSDART00000139974.2	ENSDARG00000087916.3
ENSDART00000030773.5	ENSDARG00000023058.5
ENSDART00000171701.2	ENSDARG00000100738.2
ENSDART00000097522.5	ENSDARG00000067711.5
ENSDART00000127483.4	ENSDARG00000091834.4
ENSDART00000183613.1	ENSDARG00000068468.7
ENSDART00000142998.4	ENSDARG00000068468.7
ENSDART00000182436.1	ENSDARG00000068468.7
ENSDART00000159675.3	ENSDARG00000101806.3
ENSDART00000156526.3	ENSDARG00000078805.5
ENSDART00000113185.4	ENSDARG00000078805.5
ENSDART00000148548.3	ENSDARG00000058893.8
ENSDART00000171123.2	ENSDARG00000058893.8
ENSDART00000148879.2	ENSDARG00000058893.8
ENSDART00000145410.2	ENSDARG00000088881.4
ENSDART00000149204.3	ENSDARG00000095893.4
ENSDART00000153303.2	ENSDARG00000095893.4
ENSDART00000149732.4	ENSDARG00000095893.4
ENSDART00000153121.2	ENSDARG00000095893.4
ENSDART00000090171.4	ENSDARG00000062376.7
ENSDART00000132028.3	ENSDARG00000039490.6
ENSDART00000057257.5	ENSDARG00000039490.6
ENSDART00000057697.6	ENSDARG00000039490.6
ENSDART00000164426.2	ENSDARG00000020986.9
ENSDART00000017850.9	ENSDARG00000020986.9
ENSDART00000161797.3	ENSDARG00000098626.3
ENSDART00000173668.2	ENSDARG00000098626.3
ENSDART00000173934.2	ENSDARG00000098626.3
ENSDART00000124091.3	ENSDARG00000089187.3
ENSDART00000163388.2	ENSDARG00000101165.2
ENSDART00000146315.3	ENSDARG00000003175.10
ENSDART00000021121.8	ENSDARG00000003175.10
ENSDART00000183937.1	ENSDARG00000074846.4
ENSDART00000111512.4	ENSDARG00000074846.4
ENSDART00000172678.2	ENSDARG00000026759.11
ENSDART00000151899.2	ENSDARG00000026759.11
ENSDART00000152066.2	ENSDARG00000026759.11
ENSDART00000041577.8	ENSDARG00000033099.9
ENSDART00000166519.2	ENSDARG00000033099.9
ENSDART00000147618.2	ENSDARG00000024184.8
ENSDART00000142716.2	ENSDARG00000024184.8
ENSDART00000007053.9	ENSDARG00000024184.8
ENSDART00000126984.3	ENSDARG00000009341.13
ENSDART00000124920.4	ENSDARG00000009341.13
ENSDART00000162639.3	ENSDARG00000100546.3
ENSDART00000186786.1	ENSDARG00000090804.4
ENSDART00000147034.2	ENSDARG00000090804.4
ENSDART00000021092.9	ENSDARG00000016977.10
ENSDART00000101204.4	ENSDARG00000058538.5
ENSDART00000167332.2	ENSDARG00000102175.2
ENSDART00000168861.2	ENSDARG00000102175.2
ENSDART00000143325.2	ENSDARG00000018153.9
ENSDART00000076696.6	ENSDARG00000054533.7
ENSDART00000140081.2	ENSDARG00000054533.7
ENSDART00000164542.2	ENSDARG00000054533.7
ENSDART00000138182.3	ENSDARG00000054533.7
ENSDART00000076687.4	ENSDARG00000054533.7
ENSDART00000136342.3	ENSDARG00000054533.7
ENSDART00000154863.2	ENSDARG00000038154.7
ENSDART00000055611.7	ENSDARG00000038154.7
ENSDART00000173471.2	ENSDARG00000036420.7
ENSDART00000173809.2	ENSDARG00000036420.7
ENSDART00000052906.6	ENSDARG00000036420.7
ENSDART00000183048.1	ENSDARG00000098726.2
ENSDART00000181577.1	ENSDARG00000098726.2
ENSDART00000170597.2	ENSDARG00000098726.2
ENSDART00000172709.2	ENSDARG00000098726.2
ENSDART00000170143.2	ENSDARG00000098677.2
ENSDART00000164348.2	ENSDARG00000098677.2
ENSDART00000191414.1	ENSDARG00000098677.2
ENSDART00000187058.1	ENSDARG00000098677.2
ENSDART00000054843.7	ENSDARG00000037652.8
ENSDART00000138630.3	ENSDARG00000037652.8
ENSDART00000179964.1	ENSDARG00000027963.8
ENSDART00000154333.2	ENSDARG00000027963.8
ENSDART00000155267.2	ENSDARG00000097726.2
ENSDART00000106488.2	ENSDARG00000011821.10
ENSDART00000140035.2	ENSDARG00000011821.10
ENSDART00000005901.9	ENSDARG00000011821.10
ENSDART00000128182.3	ENSDARG00000011821.10
ENSDART00000133077.2	ENSDARG00000095576.2
ENSDART00000052086.6	ENSDARG00000035875.6
ENSDART00000124471.3	ENSDARG00000057074.6
ENSDART00000088624.5	ENSDARG00000057074.6
ENSDART00000099647.6	ENSDARG00000075181.6
ENSDART00000138443.3	ENSDARG00000075181.6
ENSDART00000139813.2	ENSDARG00000077950.6
ENSDART00000111699.5	ENSDARG00000077950.6
ENSDART00000152246.2	ENSDARG00000079355.4
ENSDART00000064968.5	ENSDARG00000044251.5
ENSDART00000151672.3	ENSDARG00000096398.3
ENSDART00000138049.2	ENSDARG00000003144.7
ENSDART00000026516.7	ENSDARG00000003144.7
ENSDART00000150852.2	ENSDARG00000016968.10
ENSDART00000150594.2	ENSDARG00000016968.10
ENSDART00000150812.2	ENSDARG00000016968.10
ENSDART00000128743.3	ENSDARG00000016968.10
ENSDART00000189645.1	ENSDARG00000090063.3
ENSDART00000165510.2	ENSDARG00000090063.3
ENSDART00000121859.3	ENSDARG00000090063.3
ENSDART00000190959.1	ENSDARG00000090063.3
ENSDART00000142069.3	ENSDARG00000033789.6
ENSDART00000043933.5	ENSDARG00000033789.6
ENSDART00000148516.2	ENSDARG00000017522.12
ENSDART00000169072.2	ENSDARG00000077860.6
ENSDART00000147947.2	ENSDARG00000077860.6
ENSDART00000057464.7	ENSDARG00000052097.7
ENSDART00000176133.2	ENSDARG00000052097.7
ENSDART00000172882.2	ENSDARG00000045015.9
ENSDART00000163138.2	ENSDARG00000101490.2
ENSDART00000129570.3	ENSDARG00000101490.2
ENSDART00000170007.2	ENSDARG00000101490.2
ENSDART00000075782.7	ENSDARG00000008100.11
ENSDART00000060594.6	ENSDARG00000041340.6
ENSDART00000097540.5	ENSDARG00000041340.6
ENSDART00000154409.2	ENSDARG00000087757.4
ENSDART00000140999.3	ENSDARG00000092491.4
ENSDART00000067423.5	ENSDARG00000045873.8
ENSDART00000122735.3	ENSDARG00000088072.3
ENSDART00000150875.2	ENSDARG00000096208.2
ENSDART00000086885.5	ENSDARG00000070874.5
ENSDART00000156364.2	ENSDARG00000045641.7
ENSDART00000155698.2	ENSDARG00000045641.7
ENSDART00000163680.2	ENSDARG00000103025.2
ENSDART00000167613.2	ENSDARG00000103025.2
ENSDART00000162628.2	ENSDARG00000103025.2
ENSDART00000190025.1	ENSDARG00000103025.2
ENSDART00000159216.2	ENSDARG00000103025.2
ENSDART00000098806.5	ENSDARG00000061439.6
ENSDART00000160071.2	ENSDARG00000104269.2
ENSDART00000143398.2	ENSDARG00000052520.8
ENSDART00000133392.3	ENSDARG00000052520.8
ENSDART00000141476.4	ENSDARG00000052520.8
ENSDART00000138301.2	ENSDARG00000052520.8
ENSDART00000136016.2	ENSDARG00000018542.11
ENSDART00000111052.4	ENSDARG00000074253.6
ENSDART00000109990.4	ENSDARG00000078768.4
ENSDART00000186706.1	ENSDARG00000078768.4
ENSDART00000169589.3	ENSDARG00000100858.3
ENSDART00000136672.3	ENSDARG00000062357.7
ENSDART00000112735.4	ENSDARG00000062357.7
ENSDART00000153006.2	ENSDARG00000019135.6
ENSDART00000191797.1	ENSDARG00000019135.6
ENSDART00000099479.5	ENSDARG00000068711.6
ENSDART00000063138.6	ENSDARG00000043002.6
ENSDART00000140321.2	ENSDARG00000090854.3
ENSDART00000129676.3	ENSDARG00000090854.3
ENSDART00000079210.5	ENSDARG00000056683.8
ENSDART00000163411.2	ENSDARG00000012446.11
ENSDART00000004476.9	ENSDARG00000012446.11
ENSDART00000144897.4	ENSDARG00000012446.11
ENSDART00000172119.2	ENSDARG00000078567.5
ENSDART00000144516.3	ENSDARG00000078567.5
ENSDART00000133277.3	ENSDARG00000021444.11
ENSDART00000131410.3	ENSDARG00000029263.10
ENSDART00000078466.6	ENSDARG00000029263.10
ENSDART00000143981.2	ENSDARG00000029263.10
ENSDART00000174580.2	ENSDARG00000029263.10
ENSDART00000187409.1	ENSDARG00000029263.10
ENSDART00000182247.1	ENSDARG00000029263.10
ENSDART00000153512.2	ENSDARG00000029263.10
ENSDART00000184299.1	ENSDARG00000029263.10
ENSDART00000153168.2	ENSDARG00000030472.7
ENSDART00000045186.6	ENSDARG00000030472.7
ENSDART00000147917.3	ENSDARG00000042515.6
ENSDART00000061577.6	ENSDARG00000042018.7
ENSDART00000179893.1	ENSDARG00000042018.7
ENSDART00000122279.3	ENSDARG00000042018.7
ENSDART00000193421.1	ENSDARG00000042018.7
ENSDART00000139924.4	ENSDARG00000036943.8
ENSDART00000183848.1	ENSDARG00000036943.8
ENSDART00000138837.2	ENSDARG00000036943.8
ENSDART00000079691.5	ENSDARG00000015476.10
ENSDART00000147470.2	ENSDARG00000015476.10
ENSDART00000135049.3	ENSDARG00000015476.10
ENSDART00000154540.2	ENSDARG00000089954.5
ENSDART00000180384.1	ENSDARG00000089954.5
ENSDART00000175024.2	ENSDARG00000089954.5
ENSDART00000184486.1	ENSDARG00000089954.5
ENSDART00000156372.3	ENSDARG00000002355.10
ENSDART00000020044.9	ENSDARG00000002355.10
ENSDART00000101292.4	ENSDARG00000069537.4
ENSDART00000065139.5	ENSDARG00000044457.7
ENSDART00000144257.2	ENSDARG00000087798.5
ENSDART00000141484.2	ENSDARG00000087798.5
ENSDART00000160276.2	ENSDARG00000101106.2
ENSDART00000139285.2	ENSDARG00000093521.4
ENSDART00000149911.2	ENSDARG00000045443.6
ENSDART00000066834.5	ENSDARG00000045443.6
ENSDART00000188808.1	ENSDARG00000058958.7
ENSDART00000187511.1	ENSDARG00000058958.7
ENSDART00000081894.7	ENSDARG00000058958.7
ENSDART00000077800.6	ENSDARG00000019293.9
ENSDART00000140851.2	ENSDARG00000019293.9
ENSDART00000121828.4	ENSDARG00000019293.9
ENSDART00000142347.2	ENSDARG00000019293.9
ENSDART00000181891.1	ENSDARG00000078167.6
ENSDART00000102949.4	ENSDARG00000078167.6
ENSDART00000183998.1	ENSDARG00000078167.6
ENSDART00000180528.1	ENSDARG00000078167.6
ENSDART00000135262.3	ENSDARG00000078167.6
ENSDART00000170471.2	ENSDARG00000115890.1
ENSDART00000167251.2	ENSDARG00000101085.2
ENSDART00000167841.2	ENSDARG00000101085.2
ENSDART00000006927.6	ENSDARG00000007250.8
ENSDART00000126664.3	ENSDARG00000007250.8
ENSDART00000160463.2	ENSDARG00000113690.1
ENSDART00000161238.2	ENSDARG00000113690.1
ENSDART00000172136.2	ENSDARG00000113690.1
ENSDART00000190736.1	ENSDARG00000113690.1
ENSDART00000149067.3	ENSDARG00000011449.13
ENSDART00000180985.1	ENSDARG00000011449.13
ENSDART00000149591.3	ENSDARG00000011449.13
ENSDART00000149938.4	ENSDARG00000011449.13
ENSDART00000162837.2	ENSDARG00000099200.2
ENSDART00000170821.2	ENSDARG00000099200.2
ENSDART00000131463.2	ENSDARG00000040250.7
ENSDART00000184111.1	ENSDARG00000044753.8
ENSDART00000149371.2	ENSDARG00000044753.8
ENSDART00000019733.8	ENSDARG00000006560.10
ENSDART00000112778.4	ENSDARG00000074302.6
ENSDART00000025562.8	ENSDARG00000061371.8
ENSDART00000184362.1	ENSDARG00000061371.8
ENSDART00000168957.3	ENSDARG00000061371.8
ENSDART00000099157.5	ENSDARG00000061371.8
ENSDART00000128788.3	ENSDARG00000063574.9
ENSDART00000144769.2	ENSDARG00000086471.4
ENSDART00000138731.2	ENSDARG00000086471.4
ENSDART00000124963.4	ENSDARG00000086471.4
ENSDART00000141283.2	ENSDARG00000002377.12
ENSDART00000103626.5	ENSDARG00000002377.12
ENSDART00000121439.3	ENSDARG00000002377.12
ENSDART00000149429.2	ENSDARG00000052129.8
ENSDART00000168277.2	ENSDARG00000052129.8
ENSDART00000156512.2	ENSDARG00000098029.2
ENSDART00000083442.5	ENSDARG00000059773.8
ENSDART00000148107.4	ENSDARG00000059773.8
ENSDART00000174685.2	ENSDARG00000059773.8
ENSDART00000140935.2	ENSDARG00000095453.2
ENSDART00000079283.6	ENSDARG00000056740.6
ENSDART00000039510.6	ENSDARG00000033446.8
ENSDART00000153401.2	ENSDARG00000033446.8
ENSDART00000159602.2	ENSDARG00000099899.2
ENSDART00000147667.2	ENSDARG00000077253.3
ENSDART00000111414.3	ENSDARG00000077253.3
ENSDART00000167022.2	ENSDARG00000105063.2
ENSDART00000182248.1	ENSDARG00000105063.2
ENSDART00000169144.2	ENSDARG00000105063.2
ENSDART00000192977.1	ENSDARG00000105063.2
ENSDART00000184208.1	ENSDARG00000105063.2
ENSDART00000164445.2	ENSDARG00000100694.2
ENSDART00000166902.2	ENSDARG00000093799.3
ENSDART00000143276.3	ENSDARG00000093799.3
ENSDART00000051070.7	ENSDARG00000052851.7
ENSDART00000074781.5	ENSDARG00000052851.7
ENSDART00000004842.8	ENSDARG00000009844.8
ENSDART00000152853.2	ENSDARG00000018871.8
ENSDART00000139202.2	ENSDARG00000018871.8
ENSDART00000015000.8	ENSDARG00000018871.8
ENSDART00000162892.2	ENSDARG00000102608.2
ENSDART00000166081.2	ENSDARG00000102608.2
ENSDART00000161574.2	ENSDARG00000102608.2
ENSDART00000022179.9	ENSDARG00000003818.9
ENSDART00000025356.7	ENSDARG00000019156.9
ENSDART00000146192.3	ENSDARG00000038615.9
ENSDART00000147430.2	ENSDARG00000092774.4
ENSDART00000165180.3	ENSDARG00000092774.4
ENSDART00000128561.4	ENSDARG00000087457.4
ENSDART00000044115.6	ENSDARG00000034734.6
ENSDART00000133072.2	ENSDARG00000034734.6
ENSDART00000110137.5	ENSDARG00000079283.6
ENSDART00000161723.2	ENSDARG00000079283.6
ENSDART00000154105.3	ENSDARG00000079283.6
ENSDART00000135845.4	ENSDARG00000021913.9
ENSDART00000038535.7	ENSDARG00000021913.9
ENSDART00000169912.2	ENSDARG00000105120.2
ENSDART00000171291.2	ENSDARG00000102929.2
ENSDART00000157602.2	ENSDARG00000102929.2
ENSDART00000166983.2	ENSDARG00000102929.2
ENSDART00000180481.1	ENSDARG00000073688.5
ENSDART00000113332.4	ENSDARG00000073688.5
ENSDART00000173541.2	ENSDARG00000073688.5
ENSDART00000173660.2	ENSDARG00000073688.5
ENSDART00000173580.2	ENSDARG00000073688.5
ENSDART00000173770.2	ENSDARG00000073688.5
ENSDART00000184585.1	ENSDARG00000073688.5
ENSDART00000188749.1	ENSDARG00000073688.5
ENSDART00000186956.1	ENSDARG00000073688.5
ENSDART00000141231.3	ENSDARG00000090814.4
ENSDART00000099602.5	ENSDARG00000027141.9
ENSDART00000004539.7	ENSDARG00000027141.9
ENSDART00000146136.2	ENSDARG00000027141.9
ENSDART00000161638.2	ENSDARG00000102434.2
ENSDART00000073936.6	ENSDARG00000052142.7
ENSDART00000156716.3	ENSDARG00000052142.7
ENSDART00000155659.2	ENSDARG00000052142.7
ENSDART00000144054.4	ENSDARG00000093111.4
ENSDART00000147482.3	ENSDARG00000093111.4
ENSDART00000132541.3	ENSDARG00000093111.4
ENSDART00000101765.4	ENSDARG00000069758.5
ENSDART00000144480.2	ENSDARG00000069758.5
ENSDART00000136249.3	ENSDARG00000069758.5
ENSDART00000139270.3	ENSDARG00000069758.5
ENSDART00000173222.2	ENSDARG00000039218.6
ENSDART00000146909.2	ENSDARG00000010717.8
ENSDART00000024858.7	ENSDARG00000010717.8
ENSDART00000012759.7	ENSDARG00000020449.7
ENSDART00000056655.5	ENSDARG00000038792.5
ENSDART00000003621.9	ENSDARG00000017163.9
ENSDART00000132356.2	ENSDARG00000017163.9
ENSDART00000148013.2	ENSDARG00000044015.7
ENSDART00000080430.4	ENSDARG00000044015.7
ENSDART00000165399.2	ENSDARG00000101456.2
ENSDART00000173375.2	ENSDARG00000076801.6
ENSDART00000173056.2	ENSDARG00000076801.6
ENSDART00000138142.2	ENSDARG00000003206.12
ENSDART00000176139.2	ENSDARG00000003206.12
ENSDART00000123925.3	ENSDARG00000003206.12
ENSDART00000143933.3	ENSDARG00000003206.12
ENSDART00000143339.3	ENSDARG00000003206.12
ENSDART00000140977.3	ENSDARG00000003206.12
ENSDART00000149320.2	ENSDARG00000078686.5
ENSDART00000033848.9	ENSDARG00000017835.11
ENSDART00000158709.2	ENSDARG00000017835.11
ENSDART00000139650.3	ENSDARG00000017835.11
ENSDART00000065057.7	ENSDARG00000044318.8
ENSDART00000155016.2	ENSDARG00000076025.5
ENSDART00000154229.3	ENSDARG00000009253.9
ENSDART00000005355.8	ENSDARG00000009253.9
ENSDART00000156520.2	ENSDARG00000009253.9
ENSDART00000156262.2	ENSDARG00000009253.9
ENSDART00000143657.3	ENSDARG00000062549.8
ENSDART00000169911.2	ENSDARG00000062549.8
ENSDART00000054209.7	ENSDARG00000037262.7
